Ano,Número,Ano,Número,Ano,Número,Ano,Número
1749,"80,9",1793,"46,9",1837,"138,3",1881,"54,3"
1750,"83,4",1794,"41,0",1838,"103,2",1882,"59,7"
1751,"47,7",1795,"21,3",1839,"85,8",1883,"63,7"
1752,"47,8",1796,"16,0",1840,"63,2",1884,"63,5"
1753,"30,7",1797,"6,4",1841,"36,8",1885,"52,2"
1754,"12,2",1798,"4,1",1842,"24,2",1886,"25,4"
1755,"9,6",1799,"6,8",1843,"10,7",1887,"13,1"
1756,"10,2",1800,"14,5",1844,"15,0",1888,"6,8"
1757,"32,4",1801,"34,0",1845,"40,1",1889,"6,3"
1758,"47,6",1802,"45,0",1846,"61,5",1890,"7,1"
1759,"54,0",1803,"43,1",1847,"98,5",1891,"35,6"
1760,"62,9",1804,"47,5",1848,"124,3",1892,"73,0"
1761,"85,9",1805,"42,2",1849,"95,9",1893,"84,9"
1762,"61,2",1806,"28,1",1850,"66,5",1894,"78,0"
1763,"45,1",1807,"10,1",1851,"64,5",1895,"64,0"
1764,"36,4",1808,"8,1",1852,"54,2",1896,"41,8"
1765,"20,9",1809,"2,5",1853,"39,0",1897,"26,2"
1766,"11,4",1810,"0,0",1854,"20,6",1898,"26,7"
1767,"37,8",1811,"1,4",1855,"6,7",1899,"12,1"
1768,"69,8",1812,"5,0",1856,"4,3",1900,"9,5"
1769,"106,1",1813,"12,2",1857,"22,8",1901,"2,7"
1770,"100,8",1814,"13,9",1858,"54,8",1902,"5,0"
1771,"81,6",1815,"35,4",1859,"93,8",1903,"24,4"
1772,"66,5",1816,"45,8",1860,"95,7",1904,"42,0"
1773,"34,8",1817,"41,1",1861,"77,2",1905,"63,5"
1774,"30,6",1818,"30,4",1862,"59,1",1906,"53,8"
1775,"7,0",1819,"23,9",1863,"44,0",1907,"62,0"
1776,"19,8",1820,"15,7",1864,"47,0",1908,"48,5"
1777,"92,5",1821,"6,6",1865,"30,5",1909,"43,9"
1778,"154,4",1822,"4,0",1866,"16,3",1910,"18,6"
1779,"125,9",1823,"1,8",1867,"7,3",1911,"5,7"
1780,"84,8",1824,"8,5",1868,"37,3",1912,"3,6"
1781,"68,1",1825,"16,6",1869,"73,9",1913,"1,4"
1782,"38,5",1826,"36,3",1870,"139,1",1914,"9,6"
1783,"22,8",1827,"49,7",1871,"111,2",1915,"47,4"
1784,"10,2",1828,"62,5",1872,"101,7",1916,"57,1"
1785,"24,1",1829,"67,0",1873,"66,3",1917,"103,9"
1786,"82,9",1830,"71,0",1874,"44,7",1918,"80,6"
1787,"132,0",1831,"47,8",1875,"17,1",1919,"63,6"
1788,"130,9",1832,"27,5",1876,"11,3",1920,"37,6"
1789,"118,1",1833,"8,5",1877,"12,3",1921,"26,1"
1790,"89,9",1834,"13,2",1878,"3,4",1922,"14,2"
1791,"66,6",1835,"56,9",1879,"6,0",1923,"5,8"
1792,"60,0",1836,"121,5",1880,"32,3",1924,"16,7"
