Ano,Chuva,Ano,Chuva,Ano,Chuva,Ano,Chuva
1849,2.001,1887,1.320,1924,1.847,1961,1.737
1850,852,1888,736,1925,1.137,1962,1.258
1851,1.806,1889,784,1926,1.571,1963,2.102
1852,1.356,1890,1.534,1927,1.195,1964,2.428
1853,1.233,1891,1.077,1928,995,1965,1.630
1854,1.590,1892,1.211,1929,1.230,1966,1.288
1855,1.273,1893,1.430,1930,1.107,1967,1.839
1856,1.770,1894,2.505,1931,1.133,1968,1.385
1857,1.734,1895,2.491,1932,879,1969,1.805
1858,1.457,1896,2.144,1933,937,1970,1.192
1859,1.357,1897,1.839,1934,1.888,1971,2.093
1860,1.716,1898,863,1935,1.661,1972,1.299
1861,1.445,1899,2.414,1936,820,1973,2.331
1862,1.468,1900,940,1937,1.313,1974,2.512
1863,1.452,1901,1.545,1938,1.586,1975,1.778
1864,1.098,1902,878,1939,1.911,1976,1.417
1865,1.238,1903,789,1940,1.447,1977,1.941
1866,2.478,1904,1.136,1941,916,1978,1.752
1867,832,1905,1.189,1942,780,1979,996
1868,1.289,1906,1.430,1943,1.042,1980,1.216
1869,1.470,1907,697,1944,1.090,1981,1.086
1870,1.628,1908,834,1945,1.750,1982,1.051
1871,1.459,1909,1.015,1946,1.724,1983,955
1872,2.256,1910,2.051,1947,1.726,1984,2.029
1873,2.058,1911,1.373,1948,1.384,1985,2.836
1874,1.487,1912,2.446,1949,1.881,1986,2.457
1875,1.581,1913,1.905,1950,1.114,1987,1.260
1876,1.569,1914,1.512,1951,747,1988,1.862
1877,468,1915,530,1952,1.378,1989,1.863
1878,503,1916,1.328,1953,1.068,1990,978
1879,597,1917,2.077,1954,1.032,1991,1.549
1880,1.539,1918,1.319,1955,1.152,1992,1.089
1881,1.423,1919,656,1956,806,1993,1.043
1882,1.246,1920,1.847,1957,1.225,1994,2.380
1883,1.508,1921,2.496,1958,504,1995,2.144
1884,1.047,1922,1.595,1959,1.493,1996,1.708
1885,1.307,1923,1.513,1960,1.011,1997,1.143
1886,1.399,,,,,,
